Year,Year ending,Police Region,Local Government Area,Offence Count,"Rate per 100,000 population"
2017,December,3 Southern Metro, Frankston,14277,10145.8
2017,December,3 Southern Metro, Glen Eira,6821,4503.6
2017,December,3 Southern Metro, Greater Dandenong,18103,11071
2017,December,3 Southern Metro, Kingston,10709,6649.4
2017,December,3 Southern Metro, Mornington Peninsula,10916,6662.8
2017,December,3 Southern Metro, Port Phillip,12530,11323.4
2017,December,3 Southern Metro, Stonnington,9882,8685.8
2017,December,3 Southern Metro,Total,115043,7477.8
2017,December,4 Western, Ararat,1253,10658.4
2017,December,4 Western, Ballarat,11588,10992
2017,December,4 Western, Buloke,199,3207.1
2017,December,4 Western, Campaspe,3381,8992.7
2017,December,4 Western, Central Goldfields,1452,11043.5
2017,December,4 Western, Colac-Otway,1743,8133.5
2017,December,4 Western, Corangamite,1029,6347.9
2017,December,4 Western, Gannawarra,569,5383.7
2017,December,4 Western, Glenelg,1639,8323.2
2017,December,4 Western, Golden Plains,688,3048.6
2017,December,4 Western, Greater Bendigo,9716,8516
2017,December,4 Western, Greater Geelong,22948,9338.8
2017,December,4 Western, Hepburn,886,5668.9
2017,December,4 Western, Hindmarsh,385,6733.1
2017,December,4 Western, Horsham,2393,12034.2
2017,December,4 Western, Loddon,347,4622.4
2017,December,4 Western, Macedon Ranges,2132,4403
2017,December,4 Western, Mildura,6496,11780.5
2017,December,4 Western, Moorabool,2146,6417.1
2017,December,4 Western, Mount Alexander,1013,5249.5
2017,December,4 Western, Moyne,622,3703.9
2017,December,4 Western, Northern Grampians,1054,9151.7
2017,December,4 Western, Pyrenees,527,7162.3
2017,December,4 Western, Queenscliffe,133,4494.8
2017,December,4 Western, Southern Grampians,1279,7932.8
2017,December,4 Western, Surf Coast,1166,3719.7
2017,December,4 Western, Swan Hill,2414,11579.6
2017,December,4 Western, Warrnambool,3483,10075.5
2017,December,4 Western, West Wimmera,188,4827.9
2017,December,4 Western, Yarriambiack,478,7151.4
2017,December,4 Western,Total,83347,8491.4
2017,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,2530,
2017,December,Justice Institutions and Immigration Facilities,Total,2530,
2017,December,Unincorporated Vic, Unincorporated Vic,136,
2017,December,Unincorporated Vic,Total,136,
2016,December,1 North West Metro, Banyule,10085,7913.1
2016,December,1 North West Metro, Brimbank,19144,9375.6
2016,December,1 North West Metro, Darebin,16854,10864.7
2016,December,1 North West Metro, Hobsons Bay,6703,7173.2
2016,December,1 North West Metro, Hume,23652,11423.8
2016,December,1 North West Metro, Maribyrnong,9139,10511.6
2016,December,1 North West Metro, Melbourne,37858,25913.1
2016,December,1 North West Metro, Melton,12055,8524.3
2016,December,1 North West Metro, Moonee Valley,9618,7827.7
2016,December,1 North West Metro, Moreland,14867,8628.9
2016,December,1 North West Metro, Nillumbik,3174,4945.9
2016,December,1 North West Metro, Whittlesea,16670,8050.9
2016,December,1 North West Metro, Wyndham,15391,6779.9
2016,December,1 North West Metro, Yarra,14005,15076.3
2016,December,1 North West Metro,Total,209215,10215.5
2016,December,2 Eastern, Alpine,387,3076.8
2016,December,2 Eastern, Bass Coast,2948,8809.5
2016,December,2 Eastern, Baw Baw,4143,8404.3
2016,December,2 Eastern, Benalla,1604,11471.9
2016,December,2 Eastern, Boroondara,8391,4733.3
2016,December,2 Eastern, East Gippsland,4157,9116.2
2016,December,2 Eastern, Greater Shepparton,8399,12907.2
2016,December,2 Eastern, Indigo,396,2449.7
2016,December,2 Eastern, Knox,12142,7572
2016,December,2 Eastern, Latrobe,14482,19407.1
2016,December,2 Eastern, Manningham,5015,4091.5
2016,December,2 Eastern, Mansfield,618,7124.7
2016,December,2 Eastern, Maroondah,9195,8009.6
2016,December,2 Eastern, Mitchell,4709,11266.9
2016,December,2 Eastern, Moira,1946,6599.7
2016,December,2 Eastern, Monash,12535,6507.5
2016,December,2 Eastern, Murrindindi,715,5088.2
2016,December,2 Eastern, South Gippsland,1503,5161
2016,December,2 Eastern, Strathbogie,678,6546.3
2016,December,2 Eastern, Towong,243,4019.2
2016,December,2 Eastern, Wangaratta,2594,9072.5
2016,December,2 Eastern, Wellington,4747,10905.1
2016,December,2 Eastern, Whitehorse,7992,4711.1
2016,December,2 Eastern, Wodonga,3310,8254.4
2016,December,2 Eastern, Yarra Ranges,8918,5745.2
2016,December,2 Eastern,Total,121767,7357.4
2016,December,3 Southern Metro, Bayside,5396,5243.3
2016,December,3 Southern Metro, Cardinia,7232,7411.9
2016,December,3 Southern Metro, Casey,24081,7698.8
2016,December,3 Southern Metro, Frankston,16913,12123.8
2016,December,3 Southern Metro, Glen Eira,7522,5062.5
2016,December,3 Southern Metro, Greater Dandenong,20632,12877.1
2016,December,3 Southern Metro, Kingston,11567,7277.5
